N,L=1,L=3,L=5,L=7,L=10
267,3.2920713281193996,1.4332575692241227,1.0790395261071155,0.9824031550576882,0.9641404221220203
268,3.3044011832808966,1.437311962956565,1.0809891289971998,0.9832285784327557,0.9646071846433081
269,3.3167310384423923,1.4413672409500895,1.0829432136798414,0.9840537951249966,0.9650688682346904
270,3.3290608936038866,1.4454233958349276,1.0849018131664316,0.9848789103813342,0.9655255503884338
271,3.3413907487653836,1.449480420110625,1.0868649589154113,0.9857040283451989,0.9659773078771131
272,3.35372060392688,1.4535383061542346,1.0888326808534865,0.986529252061173,0.966424216764397
273,3.3660504590883757,1.4575970462282744,1.0908050073967621,0.9873546834795726,0.9668663524156867
274,3.378380314249872,1.4616566324884335,1.0927819654717827,0.9881804234609534,0.9673037895086073
275,3.390710169411367,1.4657170569910563,1.0947635805364921,0.9890065717805598,0.9677366020433581
276,3.4030400245728623,1.4697783117003969,1.0967498766011055,0.9898332271327146,0.9681648633529171
277,3.415369879734359,1.473840388495644,1.0987408762488804,0.9906604871351391,0.968588646113104
278,3.4276997348958553,1.4779032791777342,1.1007366006568107,0.9914884483332286,0.9690080223525075
279,3.4400295900573514,1.4819669754759495,1.1027370696162109,0.9923172062042674,0.9694230634622666
